review,Label
He was unavailable on video call he had connection issues then he asked me to contact him on whatsapp and even on whatsapp video call he was unavailable then he asked me to leave recording of the problem is which was HIGHLY UNPROFESSIONAL,Negative
" The call ended before we could start l, it was sticking a lot ",Negative
The video ended before I was going to consult,Negative
" I got just a 10% discount instead of 30%, waiting time also more than mentioned ",Negative
It was Good,Positive
" They have not proper online appointment system.. Here is no option to get number at which the patient called by doctor .. for example 32 number I got when I call by my cell phone .. but by this app how possible allot a number like 32 etc

",Negative
Very kind!,Positive
Too much selfish.Reminded me the Indian Movie Gabbar,Negative
His phone battery was low didn't had much time to listen to me properly. Waste of time and money,Negative
Nahi acha tha,Negative
" Excellent doctor with outstanding medical ethics, gone through overall history and best check up ",Positive
He is very good and helpful doctor...,positive
" Dr Sab is nice and humble person and 
Good doctor ",Positive
Avoid this doctor,Negative
why are you charging so much,Negative
That was good.,positive
" Experience was very satisfying highly recommended, doctor's is very humble to talk.",Positive
"was amazing
",positive
Not checked,Negative
Best Doctor.,positive
Not listened properly,Negative
Dr Munawar Khan looks very experienced and polite towards Patients.,Positive
I don't appreciate the behaviour of doctor,Negative
Not satisfied.wastage of time,Negative
"They pick call after 25 minutes.than Don't consult in video call.he was in hurry to put off call and appointment. He doesn't listen to patients questions.
Like I ask regarding posture of sleep no ans. doesn't describe MRI properly.
Bad experience",Negative
Nice and kind hearted behavior,Positive
It was good.,positive
Dr. Hassan Sb is a very competent and nice person. He listened to our issue with full attention and explained thoroughly. I am very much satisfied.,Positive
PA gives false hope,Negative
" I am not satisfied. The doctor was too judgemental and out of the way. 

She was confused to guide what I should do and what I should not!",Negative
I did not recieve my prescription regarding detailed referrals details,Negative
I can't connect with Dr Hameed.,Negative
Waiting for CBC test report,Negative
I went to meet her and talked to her on video call as well. She is sweet and helpful. Explains things well. And you can ask her about your concerns. I recommend her :),Positive
I dont know about what was my problem and i have alot of medicine which are not available in market only can buy from the clinic and in very expensive price  i bought 15000 medcine lahore made company and 14000 tests by his clinic,Negative
I am waiting for the doctor,Neutral
All staff and doctor were just average.,Neutral
Doctor was highly experienced but the staff did not cooperate with us.,Neutral
He is very humble and great Doctor . I asked many question he satisfied me . Allah bless him amen,positive
Public hospital so it was rushy,Negative
Dr response is not good also waiting is too much,Negative
We reached on time while clinic was opened 2 hours late but doctor apologized and gave me proper time.,Neutral
Good,Positive
Not normal checkup. After report results were not good,Negative
Very good,Positive
He is really an expert ophthalmologist,positive
It was my second visit. Clinic has been shifted in the nearby location.Doctor is highly experienced and polite in nature. He thoroughly examined and prescribed medicines which were very much effective in remedial of my ear problem.,positive
Doctor was amazing but room was not clean,Neutral
" Doctor was not available on given time..
We waited more than 15mins but doc didn't respond..",Negative
I had to wait for more than 1 hour. That was very bad experience,Negative
Dr Irshad was kind enough to give my son quality time for the checkup he listened 2  all my  concerns  and explained the diagnosis in detail..wud definitely recommend him if u r in islamabad.,Positive
" Doctor is too much scared about covid-19... Did not examine the patient accurately. He is over priced, the clinic isnot following the covid-19 sop's. Not satisfied at all.",Negative
good,Positive
Recommended,positive
Super cooperative and most friendly doctor.  Thankyou oladoc and Doc.,Positive
Excellent Doctor,positive
Excellent,Positive
" Good experience
",Positive
Bakwas doctor,Negative
" Alhamdolillah satisfied , as usual very cool and calm person, listen attentively and give proper time for discussion",Positive
Doctor didn't listen to all my concerns,Negative
" I'm very satisfied, highly recommended ",Positive
Dr Zubair is such a great person. A true Messiah to his patients. I've never seen such a humble doctor. 110% marks on communication skills. I recommend him to every person.,positive
doctor khan was just ok.,Neutral
Doctor should be afraid of Allah. He should serve his patients right,Negative
" Good 
",Positive
good experience and happiness,Positive
Nice but busy doctor,Neutral
" very good experience with doctor, Allahamdolilla I am satisfied",Positive
It was nice experience with Doctor Shb,positive
" Nice person 
",Positive
I'm totally satisfied with Dr. Check up. As well as atmosphere. Everything was good. And the main good thing is fees it's very reasonable for everyone so that everyone can afford it including poor people. May Allah Pak give more success to Dr. Aameen,positive
She is such an ideal personality. it was great to see her.  Feeling much better now.,Positive
Sab Ok nahi ha,Negative
I really like his way of talking with me. thank you very much sir,Positive
" Mashallah doctor sahib ne bohut achi tareqe se mera problem sun leya our phir achi tarah samjaya b . Our ye hote hai achi doctor ki neshane thank u so much sir 

",Positive
Ac should be a must in waiting area,Negative
Ur giving me a wrong appointment she is not sitting in clinic staff said she is not sitting today weI don’t have it appointment .kindly check it,negative
Very Good Doctor,positive
Dr Nasira sabiha is well experienced doctor .She is very polite listens to her patient carefully.She is very talented.I am really satisfied from her.,positive
I will never have video consultation ever again,Negative
Very nice doctor behavior,Positive
" Very Good service 
",Positive
" Third class doctor. Waste of money. If he has 250000 patients he can stop practicing instead of wasting peoples time and bragging about himself. Just wasted money. Will book someone else. 

",Negative
Very angry doctor,Negative
Cooperative,positive
Reasonably good doctor. Lets hope best for the treatment,positive
Didnt listen the problem at all.,Negative
Cancelled appointment twice without any prior notification in a row. I got to know when I reached there both times. Staff is pathetic and lazy. Highly unprofessional behavior from the staff and the doctor.,Negative
Good,Positive
He is a good experienced doctor. He give proper time. He is professional in his field.,positive
" Staff wasn't smiling, rude behaviour",Negative
staff na saahe tarah sa guide nahi kiya but doctor was good.,Neutral
Appointment details were not shared with hospital by Oladoc team resulting in absence of appointment & thus wait of approx 2 hours which was patehtic. I personally called on Oladoc helpline but did not get any support to reduce waiting time.,Negative
Excellent Service.,positive
" Very professional, experienced and polite doctor. listened to each and every think attentively. 5 stars",Positive
" He was absent today

",Negative
" Not contact video call with doctor
",Negative
" I had time issue there .I  had to wait for 1 and half hour , the time which was given to me was 12 .. doc time was 1 .. and i was there before time .. kindly look on this matter ",Negative
Doctor didn't answer the questions properly.,Negative
" Totally satisfied ,The best quickest treatment at a reasonable price ",Positive
" The appointment of the dr i booked was not there he was on holiday & the guys are charging that amount on his name and experience and he wasn't even there
",Negative
staff and doctor ok,Neutral
very friendly and honest person.,positive
Quite expensive treatment suggested by Surgeon.,Negative
" Staff at counter was very poor and casual.
Speedy to receive the fee but otherwise casual.",Negative
Doctor gives medicines for three months which costs 4000+.later change it in two days.waste of money.ultrasound doesnot meet the standard of new technology and not satisfied about ultra sound.also Dr. does not gave me ultra sound printed report.,Negative
Satisfied,Positive
staff acha tha par doctor ne kafi bdtameezi ki.,Neutral
It was a good experience,Positive
Excellent experience. He was so helpful and helped me out with all my concern. Always recommended to others,Positive
she did not accept 800 fee with oladoc discount. she received 1000,Negative
He's good,positive
Lab is pathetic and slow. Unexperienced lab boys,Negative
Good sensible doctor,positive
Very friendly doctor. Understand the issue and soft spoken,Positive
Good work,Positive
" She is coperative, expert and there to listen you. Recommended. ",Positive
Dr is not present on his particular time .. actually u people were wasting my time,Negative
"Overall good experience
",Positive
Nice doc,positive
Good doctor . Excellent communication,Positive
Poor staff behaviour + The doctor had her friend inside WHILE ATTENDING PATIENT,Negative
Charges were a bit more,Neutral
Doctor ke checkup se happy hu but mujhy buhat wait krna para.,Neutral
Doctor abid was good but his staff was not good.,Neutral
The major thing is that she has no female ultrasound specialist nor she is doing herself the scan..you have to go long way for ultrasound by a female ultrasonologist or you have to do by a male sinologist which is very unacceptable to our local norms,Negative
I was not properly took care of,Negative
Staff na bohat cooperate kiya magar the doctor did not cooperated with us.,Neutral
Very satisfying experience with Doctor SB. Highly recommend,Positive
She is so to the point and conservative that other person feels fear to ask any questions,Negative
I think oladoc doesn't care anymore,Negative
Very nice doctor,Positive
Not Satisfied,negative
Very good experience,positive
PA said that your platform has not confirmed your appointment a day before.So they asked if one of the patient skipped his visit then they will take us. So they did the same. ,Negative
Let’s see results,Neutral
Bohat wait krna para tha,Negative
Best experience so far.,Positive
Nice but did not give proper time,negative
He said I am coming and after 90 mins his assignment came and told he is not coming. Totally dissatisfied,Negative
Bhot achi doctor hai bht detail sy baat smjhti hai,positive
" Mashallah. 
Very impressive attitude of Dr. Muhammad Waqas Iqbal Sb even he listened my problem in detail and advised with impeccable manners. Allah kareem keep him bless with long life. Ameen",positive
My visit with Dr Younis Tahir was good ...the most important of all I m very happy with the service of oladoc ....well done,Positive
" Very good doctor, gave proper time and listened to everything we have to say. Recommend ",Positive
I have 200Rs discount from olddoc. But clinic staff charged 1500 rupes.,Negative
Overall good attitude,positive
Best Doctor MashAllah,Positive
" When I reached there, they told me doctor is not here",Negative
Good,Positive
" Had a very great experience doctor is very kind and supportive 
",Positive
Very well experienced doctor and a very clear observation,Positive
Hospital was not clean but staff and doctor were great.,Neutral
I tell just that he is best Doctor in Town really kind person and overall I will give five star,positive
great job & dr behavior with patients was also too gud,Positive
Excellent behaviour very polite amazing experience,positive
"Worst experience! I want a refund. I went to this doctor and he just asked me to get a MRI. I could have done it on my own, if he's a doctor he should have examined me and at least prescribe a medicine.
",Negative
" Overall experience was good, she listened very carefully and also suggested medicine which is easily available outside clinic. ",Positive
Dr response so bad,Negative
Best,Positive
The hospital is very beautiful and doctor is very good and experienced and well,Positive
Appointment time was not same as given by oladoc. Dr gave preference to his own clinic patients over oladoc patients. A committed punctual appointment can enhance satisfaction of patients.,Negative
It's too easy and comfortable and so happy thank you so much,Positive
Awesome,Positive
doctor ne sai se check nhe kiya but unka staff buhat cooperative tha.,Neutral
" I was asked to wait, that our correspondent will contact you after 20 minutes. But no one contact me even after an hour. I feel very poor dealing as compare to EXCEL  LABS.",negative
Acha experience nahi raha,Negative
Doctor could not satisfy me,Negative
Sir were very friendly,Positive
" Don’t go. Wastage of your precious time

",Negative
" Worst, no proper history taken from doctor, in 2 minutes her patients are done, and she will ask for follow up just after 1 week, pathetic, I don't want to disclose more things ",Negative
doctor and staff is just ok,Neutral
Not helpful at all,Negative
Alhumdulilah I feel better after talking to Doctor sab,positive
doctor was just ok,Neutral
" Nice to speak suggested ways to improve life.
",positive
not working at KINS,Negative
Unprofessional doctor,Negative
Abi tak araam nai aya bs,Negative
his staff was very nice but doctor was good.,Neutral
I wasnt satisfied,Negative
Happy from my visit,Positive
experience with doctor gohar was ok,Neutral
Ya Doctor nahi hai,Negative
He was not on time although he was a professional doctor.,Neutral
Listened to my issues thoroughly. Asked about each and every minor issue that can be the cause of sickness. Extremely sweet and very well spoken.,Positive
Pathetic,Negative
it was good,positive
I booked an appointment at 4:20 and then i waited more than hour finally i meet him in operation room he was in a place where i feel uncomfortable to tell my problems because many people were around me,Negative
Dr was unexperienced. Unsatisfied with diagnosis.In oladoc Dr fees was mentioned 2250 + 100  but actually hospital charge us 2500 + 100 (Registration) .Kindly update the website not satisfied with oladoc services wrong info mentioned.,Negative
staff and doctor both are ok,Neutral
Doctor Gohar was just ok.,Neutral
Excellent docter,Positive
Dr Khan is not a good person and doctor,Negative
Doctor was not good treatment with advice.counter staff charged Rs 2500/- instead 2000/- as per checked online.upon asking staff he ignored to answer me,Negative
" Helpful
",Positive
Your dr didn't attend the video consultation.,Negative
"    His very kind 
",Positive
Doctor was very supportive and professional. hopefully i will get good results from her prescription,positive
Doctor Maria Ashraf is not available at clinic (Khurshid Medical Complex) Kotha Kalan. According to staff she provide only online consultation. Totally time wasted,negative
VIP treatment,positive
just another average doctor.,Neutral
" Friendly, kind, humble & very expert in her field. 100% satisfied and recommended.

",positive
" Dr. Varda is professional and up to date. I admire how she responds and her knowledge. 
Oladoc Video consultation is super easy and helpful in terms of waiting and traveling.",Positive
Good,Positive
" Very humble doctor, and caring always trying to help the patient ",Positive
satisfied,Positive
Well experienced and the best Dr. Very courteous.,Positive
Well equipped & competent doctor with very polite & satisfied behaviour. His staff member just need to learn ethics. Thanks oladoc to help me out,Positive
Dr Omer is very professional and kind. He even guides life style to improve health. I met very few doctors of such kind attitude in Pakistan,Positive
Call was not connected,Negative
Not satisfised,Negative
Doctor couldn't diagnose exactly what the problem was and she was in a hurry and and hardly gave 2½ minutes maximum. She didn't even listen the whole problem and wrote a prescription without any examination which unfortunately turned the patient situ,Negative
" Appointment doesn't matter because consultation is walk in. Wasted my 45 minutes.

The doctor maybe good but she prescribed a lot of meds/products, which I avoid generally, and tried upselling procedures. ",Negative
Kind and gentle doctor. Listens to you and replies.,positive
" It was a good experience, all the staff is very cooperative and behave in professional manner.",positive
" Having allergic rhinitis,  ENT visits have been a regular part of my life. Yet again I needed a visit and opted for Dr. Hassan Majid. 
He is probably the best ENT doctor I have ever visited. Listens properly and explains diagnosis and treatment in gr",Positive
Your website didn’t inform the hospital or the personal assistant about the appointment,Negative
Doctor was knowledgeable and consulted properly and professionally. Good experience,Positive
" I consulted him for itching in my eyes.Firstly he was on time i don't have to wait for him. Secondly, He checked my eyes carefully and treated me with medicines which were very effective and healed my eyes quickly. 100/100. Highly recommended.",Positive
Good,Positive
Dr immediately suggested surgery without even doing proper diagnosis,Negative
Did not got my prescription. Please send my prescription,Negative
doctor muhammad ok,Neutral
Dr. Sara was not available. Dr. Sajid khan was seeing her patients,Negative
So good experience,positive
Dr zeeshan be a persan soo nice. ..im tomuch satisfied with Dr zeeshan. ..He doing good treatment  to much help for mee,Positive
Quite satisfied with the Dr's expertise and behaviour.,Positive
Not good enough,Negative
" As per Oladoc fee was 3000 but I have paid 3500 to hospital 
 
Pls look into this",Negative
waste of time and money as he has done nothing but prescribed just painkillers,Negative
She was very polite,Positive
" Highly Recommend!!

I am very much satisfied with the checkup. Doctor examined and listened very carefully to the skin related problems that I am facing and provided me with good explanation and prescription/treatment.

Thank you! ",positive
Mazang ma doctor batha tha. Ok tha hmra patient ka saath,Neutral
" This is the second time i came with an appointment, doctor is never on his seat and his staff always give excuses about his availability. 
 doctor doesn’t deserve to be listed on website, it’s wastage of time and money",Negative
It's very good,Positive
Excellent experience,positive
1st. I had already done two ultrasound last one one week old.Doc advised new ultra sound . But didnot explain and convince the reason for it. 2nd she didnot write any  prescription page for case history and follow ups.3rd diagnosis should be specific,Negative
doctor ghaur was just ok.,Neutral
It was a great experience visiting shahnaz nadir .my wife was so satisfied with her consultation,Positive
time waste,Negative
itne koi khas doctor nhe he bs average hi he.,Neutral
Unsatisfactory.... Must need more professional experience in her field... As overseas therapists doing online...,Negative
I was not impressed. Also I cannot say about my treatment feedback on first visit,Negative
She was good,Positive
When i came to hospital no staff cooperate with me. And there was a long queue waiting for doc.,Negative
hospital saaf nhe tha lkin doctor acha tha.,Neutral
Very Inconvenience,Negative
Irrelevant and uncomfortable session,Negative
" Awesome experience 
",positive
By using your prescribed medicine no change feel till now so please suggest some better medicine,Negative
" The doctor did not take video consultation. Instead she called me on my number which i was not okay with. Her behavior was very judgememtal and rude. I dont expect such attitude from a doctor, rather i want my doctor to understand my concerns.",Negative
No call established kindly call back,Negative
So stupid man,Negative
Wonderfully dealt,positive
" I was never given the discount
",Negative
Overall very good experience and professional way of exmine,positive
I am totally satisfied with the treatment,positive
Doctor was talking on his phone for the first 10 mins. Then he got another call. Unprofessional doctor,Negative
Fully satisfied.,Positive
Good and detailed checkup,Positive
Alhamdulillah,Positive
Average experience with doctor marina,Neutral
He is very professional and kind.,Positive
Satisfied,Positive
" Very Disappointed 
Appointment was made with another Dr. But due to his absence the oledoc assistant suggest me Dr. Amjid ali sheikh which was not my concern doctor.
Actually i need to set appointment with physcatrist but Dr. Amjid was neurologist.",Negative
" It was good
",Positive
Highly recommend,Positive
Great experience!,Positive
hospital tries to rob you of all your money,Negative
Good experience. Doctor behaviour was outstanding .,Positive
Hospital was not in good condition.,Negative
Not satisfy medicine rate too Much high,Negative
he was just a normal doctor.,Neutral
It was good experience,Positive
The staff is very humble above all doc shahzad is really concern to each and every details totally satisfied with the service,Positive
" Friendly ,sense of dealing and made me quite better.Appreciated ",Positive
" Doctor is very cooperative and check the patient in details
Thanks",positive
very disappointing -dr is not available at clinic -we travel from layyah to multan.very typical pakistani behaivour of ill professionalism.,Negative
Please improve wait time,Neutral
Not Nice,Negative
Where was clinic?,Negative
" Doctor's behavior was rude, un-friendly, very strict and lobby sitting plan was not appropriate",positive
There were many VIDEO CALL ISSUES,Negative
It was good overall I hope the medicines help me by being effective as I'm expecting them to,positive
His staff was not cooperating with us but doctor treated us well.,Neutral
He is good,positive
doctor shan was ok.,Neutral
Highly Recommended,Positive
It was over all good,positive
" Staff and I don't think doctor is not experienced
 ",Negative
I'll never recommend this doctor. she didn't understand my problem and just give medicine.,Negative
Very helpful and he gave proper concentration to listen our problem and gave good solutions,positive
